County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2021-02-26,24415,3350,0.13721073110792545,596,341,255,423
DuPage,2021-02-26,5229,671,0.12832281506980303,163,80,83,103
Lake,2021-02-26,3971,512,0.1289347771342231,127,85,42,97
Will,2021-02-26,3119,354,0.11349791599871754,84,63,21,49
Kane,2021-02-26,2770,339,0.12238267148014441,102,83,19,67
Madison,2021-02-26,2234,256,0.11459265890778872,65,37,28,46
St. Clair,2021-02-26,2060,255,0.12378640776699029,55,18,37,52
Winnebago,2021-02-26,1935,240,0.12403100775193798,56,36,20,48
Peoria,2021-02-26,1376,158,0.11482558139534883,34,25,9,29
Sangamon,2021-02-26,1308,140,0.10703363914373089,35,31,4,31
Kankakee,2021-02-26,1254,76,0.06060606060606061,24,14,10,18
Rock Island,2021-02-26,1249,173,0.13851080864691753,30,28,2,24
Tazewell,2021-02-26,1177,139,0.11809685641461343,36,29,7,33
McHenry,2021-02-26,1159,166,0.14322691975841242,45,29,16,39
LaSalle,2021-02-26,1048,178,0.16984732824427481,22,16,6,16
Adams,2021-02-26,762,95,0.12467191601049869,16,13,3,15
McLean,2021-02-26,759,124,0.16337285902503293,23,18,5,20
Clinton,2021-02-26,750,57,0.076,19,12,7,17
Knox,2021-02-26,695,107,0.1539568345323741,13,4,9,12
Champaign,2021-02-26,673,63,0.09361069836552749,35,27,8,28
Marion,2021-02-26,627,52,0.08293460925039872,12,8,4,11
DeKalb,2021-02-26,619,69,0.11147011308562198,15,11,4,14
Macon,2021-02-26,584,67,0.11472602739726027,16,8,8,11
Whiteside,2021-02-26,543,92,0.1694290976058932,17,8,9,15
Coles,2021-02-26,530,60,0.11320754716981132,17,17,0,16
Livingston,2021-02-26,481,46,0.09563409563409564,12,9,3,10
Williamson,2021-02-26,465,65,0.13978494623655913,16,4,12,15
Morgan,2021-02-26,437,65,0.14874141876430205,10,9,1,9
Macoupin,2021-02-26,408,47,0.11519607843137254,18,13,5,14
Bureau,2021-02-26,397,50,0.12594458438287154,6,4,2,6
Jefferson,2021-02-26,365,60,0.1643835616438356,10,4,6,9
Randolph,2021-02-26,359,43,0.11977715877437325,16,13,3,10
Monroe,2021-02-26,340,54,0.1588235294117647,8,4,4,8
Vermilion,2021-02-26,333,48,0.14414414414414414,12,1,11,10
Boone,2021-02-26,324,49,0.15123456790123457,7,3,4,7
Woodford,2021-02-26,319,35,0.109717868338558,8,4,4,7
Iroquois,2021-02-26,305,31,0.10163934426229508,11,10,1,10
Montgomery,2021-02-26,295,39,0.13220338983050847,10,4,6,10
Logan,2021-02-26,291,31,0.10652920962199312,9,6,3,7
Jackson,2021-02-26,284,43,0.15140845070422534,11,7,4,7
Richland,2021-02-26,267,37,0.13857677902621723,9,8,1,8
Lee,2021-02-26,265,44,0.1660377358490566,7,2,5,6
Christian,2021-02-26,262,45,0.1717557251908397,9,2,7,9
Ogle,2021-02-26,261,36,0.13793103448275862,10,6,4,10
Franklin,2021-02-26,259,31,0.11969111969111969,7,3,4,7
Mason,2021-02-26,257,27,0.10505836575875487,6,6,0,6
Ford,2021-02-26,252,41,0.1626984126984127,10,10,0,8
Pike,2021-02-26,250,34,0.136,4,1,3,4
Stephenson,2021-02-26,234,52,0.2222222222222222,8,2,6,7
Perry,2021-02-26,214,40,0.18691588785046728,6,3,3,6
Kendall,2021-02-26,201,34,0.1691542288557214,8,5,3,8
Grundy,2021-02-26,197,15,0.07614213197969544,4,2,2,4
Effingham,2021-02-26,197,35,0.17766497461928935,8,2,6,7
Henry,2021-02-26,196,50,0.25510204081632654,8,0,8,8
